customer_id,industry,signup_date,subscription_tier,mrr,churn_status,churn_date
CUST-00069,Tech,2025-04-16,Pro,49,Active,
CUST-00070,Tech,2025-07-03,Enterprise,199,Active,
CUST-00071,Tech,2024-12-09,Pro,49,Active,
CUST-00072,Education,2025-04-18,Basic,19,Active,
CUST-00073,Retail,2025-02-27,Pro,49,Churned,2025-07-30
CUST-00074,Tech,2026-01-30,Basic,19,Active,
CUST-00075,Healthcare,2024-02-27,Basic,19,Active,
CUST-00076,Tech,2025-06-17,Enterprise,199,Active,
CUST-00077,Education,2024-11-02,Pro,49,Churned,2025-03-01
CUST-00078,Finance,2025-08-01,Basic,19,Active,
CUST-00079,Tech,2026-01-12,Basic,19,Active,
CUST-00080,Tech,2025-11-25,Enterprise,199,Active,
CUST-00081,Finance,2024-11-19,Basic,19,Active,
CUST-00082,Tech,2025-07-22,Basic,19,Active,
CUST-00083,Finance,2025-07-02,Basic,19,Active,
CUST-00084,Retail,2024-01-20,Pro,49,Churned,2024-05-01
CUST-00085,Tech,2024-08-01,Basic,19,Active,
CUST-00086,Tech,2025-08-14,Basic,19,Active,
CUST-00087,Education,2025-12-02,Enterprise,199,Active,
CUST-00088,Finance,2024-12-05,Basic,19,Active,
CUST-00089,Tech,2024-12-28,Pro,49,Churned,2025-02-23
CUST-00090,Tech,2024-03-08,Basic,19,Active,
CUST-00091,Tech,2024-06-01,Basic,19,Active,
CUST-00092,Healthcare,2024-10-14,Pro,49,Active,
CUST-00093,Retail,2024-02-01,Basic,19,Active,
CUST-00094,Finance,2024-12-13,Pro,49,Active,
CUST-00095,Tech,2025-01-19,Enterprise,199,Active,
CUST-00096,Tech,2025-10-03,Basic,19,Active,
CUST-00097,Education,2025-07-01,Pro,49,Active,
CUST-00098,Finance,2024-06-18,Basic,19,Active,
CUST-00099,Education,2025-08-07,Enterprise,199,Active,
CUST-00100,Retail,2025-09-12,Basic,19,Active,
CUST-00101,Tech,2025-02-02,Basic,19,Active,
CUST-00102,Healthcare,2024-07-10,Basic,19,Active,
CUST-00103,Healthcare,2025-09-01,Basic,19,Active,
CUST-00104,Finance,2024-04-29,Basic,19,Active,
CUST-00105,Tech,2026-02-08,Basic,19,Churned,2026-03-31
CUST-00106,Healthcare,2024-11-11,Basic,19,Active,
CUST-00107,Tech,2025-12-23,Basic,19,Active,
CUST-00108,Finance,2024-11-18,Basic,19,Active,
CUST-00109,Finance,2025-12-27,Pro,49,Active,
CUST-00110,Education,2024-02-02,Basic,19,Active,
CUST-00111,Retail,2024-10-05,Basic,19,Churned,2024-12-01
CUST-00112,Tech,2025-02-27,Pro,49,Active,
CUST-00113,Finance,2024-03-29,Enterprise,199,Active,
CUST-00114,Tech,2025-05-23,Enterprise,199,Active,
CUST-00115,Education,2024-08-31,Basic,19,Active,
CUST-00116,Retail,2025-01-15,Basic,19,Active,
CUST-00117,Tech,2025-04-07,Pro,49,Active,
CUST-00118,Healthcare,2024-11-05,Basic,19,Active,
CUST-00119,Healthcare,2024-08-09,Basic,19,Active,
CUST-00120,Tech,2025-06-21,Basic,19,Churned,2025-12-12
CUST-00121,Retail,2024-11-05,Pro,49,Active,
CUST-00122,Finance,2024-06-28,Pro,49,Active,
CUST-00123,Retail,2024-04-24,Pro,49,Active,
CUST-00124,Finance,2025-01-18,Basic,19,Active,
CUST-00125,Tech,2024-02-08,Basic,19,Active,
CUST-00126,Tech,2026-03-07,Pro,49,Active,
CUST-00127,Tech,2024-07-25,Basic,19,Active,
CUST-00128,Education,2024-04-04,Basic,19,Active,
CUST-00129,Retail,2025-03-30,Pro,49,Active,
CUST-00130,Retail,2025-06-02,Basic,19,Active,
CUST-00131,Tech,2024-01-26,Basic,19,Active,
CUST-00132,Tech,2025-05-09,Pro,49,Churned,2025-10-26
CUST-00133,Retail,2025-05-27,Pro,49,Active,
CUST-00134,Education,2024-06-06,Basic,19,Active,
CUST-00135,Tech,2024-07-13,Enterprise,199,Active,
CUST-00136,Finance,2024-12-14,Pro,49,Active,
CUST-00137,Tech,2025-05-10,Pro,49,Active,
CUST-00138,Retail,2026-01-20,Pro,49,Active,
CUST-00139,Retail,2025-06-20,Basic,19,Active,
CUST-00140,Tech,2024-11-13,Basic,19,Active,
CUST-00141,Finance,2026-03-05,Enterprise,199,Active,
CUST-00142,Finance,2024-12-01,Basic,19,Active,
CUST-00143,Tech,2024-05-26,Enterprise,199,Active,
CUST-00144,Retail,2026-02-26,Basic,19,Active,
CUST-00145,Finance,2024-04-10,Basic,19,Active,
CUST-00146,Tech,2025-06-12,Basic,19,Active,
CUST-00147,Finance,2025-11-23,Pro,49,Active,
CUST-00148,Healthcare,2024-05-15,Basic,19,Active,
CUST-00149,Tech,2024-07-29,Pro,49,Churned,2024-09-18
CUST-00150,Tech,2026-01-11,Basic,19,Active,
CUST-00151,Education,2024-02-07,Basic,19,Active,
CUST-00152,Healthcare,2025-04-15,Basic,19,Active,
CUST-00153,Finance,2025-01-31,Enterprise,199,Active,
CUST-00154,Finance,2025-12-31,Basic,19,Active,
CUST-00155,Tech,2025-06-18,Basic,19,Active,
CUST-00156,Tech,2024-04-28,Basic,19,Churned,2024-07-24
CUST-00157,Tech,2024-01-05,Basic,19,Active,
CUST-00158,Finance,2024-11-14,Basic,19,Active,
CUST-00159,Tech,2024-02-15,Pro,49,Churned,2024-04-13
CUST-00160,Tech,2025-12-04,Basic,19,Churned,2026-03-29
CUST-00161,Tech,2025-08-31,Basic,19,Active,
CUST-00162,Healthcare,2024-03-30,Basic,19,Active,
CUST-00163,Tech,2024-12-07,Pro,49,Active,
CUST-00164,Education,2025-04-23,Basic,19,Active,
CUST-00165,Retail,2024-02-17,Pro,49,Active,
CUST-00166,Tech,2024-04-15,Enterprise,199,Active,
CUST-00167,Tech,2025-06-17,Basic,19,Active,
CUST-00168,Healthcare,2026-02-23,Basic,19,Active,
CUST-00169,Tech,2025-11-05,Basic,19,Active,
CUST-00170,Tech,2026-02-02,Basic,19,Active,
CUST-00171,Education,2024-11-15,Enterprise,199,Active,
CUST-00172,Finance,2024-01-24,Pro,49,Active,
CUST-00173,Finance,2025-08-14,Pro,49,Active,
CUST-00174,Retail,2026-02-15,Pro,49,Active,
CUST-00175,Retail,2024-11-15,Basic,19,Active,
CUST-00176,Tech,2025-10-16,Basic,19,Active,
CUST-00177,Tech,2024-08-02,Enterprise,199,Active,
CUST-00178,Finance,2024-11-24,Pro,49,Churned,2025-01-29
CUST-00179,Finance,2024-07-24,Enterprise,199,Active,
CUST-00180,Finance,2024-07-16,Basic,19,Active,
CUST-00181,Healthcare,2024-10-20,Pro,49,Active,
CUST-00182,Healthcare,2024-10-10,Basic,19,Active,
CUST-00183,Education,2025-06-29,Basic,19,Churned,2025-10-30
CUST-00184,Tech,2024-11-22,Basic,19,Active,
CUST-00185,Finance,2026-03-02,Pro,49,Active,
CUST-00186,Tech,2025-03-27,Basic,19,Active,
CUST-00187,Retail,2025-11-18,Pro,49,Active,
CUST-00188,Tech,2024-04-30,Basic,19,Active,
CUST-00189,Tech,2024-10-06,Basic,19,Active,
CUST-00190,Finance,2024-06-01,Basic,19,Active,
CUST-00191,Finance,2024-06-10,Pro,49,Active,
CUST-00192,Tech,2024-10-07,Basic,19,Active,
CUST-00193,Tech,2024-04-27,Basic,19,Active,
CUST-00194,Education,2024-01-16,Basic,19,Active,
CUST-00195,Finance,2025-09-29,Basic,19,Active,
CUST-00196,Retail,2025-07-27,Basic,19,Active,
CUST-00197,Finance,2025-06-10,Basic,19,Active,
CUST-00198,Tech,2024-04-14,Pro,49,Active,
CUST-00199,Education,2024-07-30,Basic,19,Active,
CUST-00200,Retail,2025-07-09,Basic,19,Active,
CUST-00201,Education,2024-12-24,Basic,19,Active,
CUST-00202,Education,2025-07-16,Pro,49,Churned,2025-11-03
CUST-00203,Retail,2024-11-22,Enterprise,199,Active,
CUST-00204,Tech,2024-10-04,Enterprise,199,Active,
CUST-00205,Finance,2024-05-24,Pro,49,Churned,2024-10-29
CUST-00206,Tech,2025-12-22,Pro,49,Active,
CUST-00207,Finance,2024-10-17,Basic,19,Active,
CUST-00208,Tech,2025-08-10,Basic,19,Active,
CUST-00209,Tech,2024-09-07,Basic,19,Active,
CUST-00210,Education,2024-06-24,Pro,49,Active,
CUST-00211,Tech,2024-03-13,Pro,49,Churned,2024-05-15
CUST-00212,Retail,2024-11-14,Basic,19,Churned,2025-03-23
CUST-00213,Finance,2025-09-19,Basic,19,Active,
CUST-00214,Finance,2024-12-12,Pro,49,Active,
CUST-00215,Education,2025-07-07,Basic,19,Active,
CUST-00216,Education,2025-03-30,Basic,19,Active,
CUST-00217,Finance,2024-02-21,Basic,19,Churned,2024-05-06
CUST-00218,Healthcare,2024-05-13,Pro,49,Active,
CUST-00219,Tech,2024-01-30,Pro,49,Active,
CUST-00220,Tech,2025-04-27,Enterprise,199,Active,
CUST-00221,Education,2025-11-22,Basic,19,Active,
CUST-00222,Finance,2024-02-21,Pro,49,Churned,2024-07-05
CUST-00223,Finance,2024-04-18,Basic,19,Active,
CUST-00224,Healthcare,2025-01-27,Pro,49,Active,
CUST-00225,Tech,2024-02-25,Pro,49,Active,
CUST-00226,Finance,2024-03-29,Basic,19,Active,
CUST-00227,Finance,2025-03-12,Enterprise,199,Active,
CUST-00228,Retail,2025-02-05,Pro,49,Churned,2025-04-22
CUST-00229,Tech,2024-07-02,Basic,19,Active,
CUST-00230,Education,2025-12-22,Basic,19,Active,
CUST-00231,Tech,2025-09-02,Basic,19,Active,
CUST-00232,Tech,2025-08-29,Basic,19,Active,
CUST-00233,Finance,2025-10-06,Basic,19,Active,
CUST-00234,Healthcare,2025-12-07,Enterprise,199,Active,
CUST-00235,Tech,2025-12-17,Basic,19,Active,
CUST-00236,Tech,2025-04-01,Basic,19,Active,
CUST-00237,Retail,2025-09-23,Pro,49,Active,
CUST-00238,Tech,2024-12-30,Basic,19,Active,
CUST-00239,Finance,2024-11-15,Pro,49,Churned,2024-12-28
CUST-00240,Healthcare,2024-12-06,Enterprise,199,Active,
CUST-00241,Finance,2024-07-21,Basic,19,Active,
CUST-00242,Finance,2025-12-31,Basic,19,Active,
CUST-00243,Finance,2026-02-15,Basic,19,Active,
CUST-00244,Education,2025-11-17,Pro,49,Churned,2026-03-31
CUST-00245,Tech,2025-06-30,Basic,19,Churned,2025-11-24
CUST-00246,Healthcare,2024-03-21,Basic,19,Active,
CUST-00247,Tech,2026-02-12,Pro,49,Active,
CUST-00248,Tech,2026-02-21,Enterprise,199,Active,
CUST-00249,Healthcare,2025-04-21,Enterprise,199,Active,
CUST-00250,Tech,2025-08-04,Enterprise,199,Active,
CUST-00251,Tech,2024-05-14,Pro,49,Active,
CUST-00252,Retail,2024-04-05,Enterprise,199,Active,
CUST-00253,Tech,2025-12-16,Basic,19,Active,
CUST-00254,Finance,2025-04-24,Pro,49,Active,
CUST-00255,Education,2024-04-09,Pro,49,Churned,2024-06-23
CUST-00256,Education,2025-04-11,Basic,19,Active,
CUST-00257,Tech,2024-11-13,Basic,19,Active,
CUST-00258,Tech,2025-12-01,Pro,49,Active,
CUST-00259,Tech,2025-10-21,Pro,49,Active,
CUST-00260,Education,2025-12-28,Basic,19,Active,
CUST-00261,Retail,2026-02-23,Pro,49,Active,
CUST-00262,Retail,2025-04-21,Basic,19,Active,
CUST-00263,Tech,2025-04-26,Enterprise,199,Active,
CUST-00264,Tech,2024-08-25,Enterprise,199,Active,
CUST-00265,Retail,2024-08-17,Pro,49,Active,
CUST-00266,Healthcare,2024-05-27,Pro,49,Active,
CUST-00267,Healthcare,2025-09-23,Enterprise,199,Active,
CUST-00268,Education,2024-09-21,Enterprise,199,Churned,2024-11-29
CUST-00269,Healthcare,2025-01-07,Pro,49,Active,
CUST-00270,Tech,2025-02-05,Enterprise,199,Active,
CUST-00271,Retail,2024-07-06,Basic,19,Active,
CUST-00272,Tech,2025-12-17,Pro,49,Active,
CUST-00273,Healthcare,2025-11-12,Basic,19,Active,
CUST-00274,Education,2024-12-04,Basic,19,Active,
CUST-00275,Tech,2024-11-28,Pro,49,Active,
CUST-00276,Tech,2025-04-09,Pro,49,Active,
CUST-00277,Tech,2025-05-14,Basic,19,Churned,2025-06-19
CUST-00278,Finance,2024-01-31,Basic,19,Churned,2024-07-18
CUST-00279,Tech,2024-03-07,Pro,49,Active,
CUST-00280,Healthcare,2025-05-01,Pro,49,Churned,2025-07-26
CUST-00281,Healthcare,2024-04-25,Basic,19,Active,
CUST-00282,Tech,2024-12-25,Pro,49,Active,
CUST-00283,Healthcare,2025-05-05,Pro,49,Churned,2025-07-05
CUST-00284,Tech,2025-04-17,Basic,19,Churned,2025-09-20
CUST-00285,Finance,2024-06-23,Enterprise,199,Active,
CUST-00286,Education,2024-10-16,Pro,49,Active,
CUST-00287,Retail,2026-02-25,Basic,19,Active,
CUST-00288,Tech,2024-12-22,Basic,19,Active,
CUST-00289,Finance,2025-09-10,Basic,19,Active,
CUST-00290,Tech,2025-08-11,Basic,19,Active,
CUST-00291,Tech,2024-05-10,Pro,49,Active,
CUST-00292,Retail,2025-06-04,Basic,19,Active,
CUST-00293,Healthcare,2024-04-15,Pro,49,Churned,2024-07-09
CUST-00294,Tech,2025-02-19,Basic,19,Active,
CUST-00295,Healthcare,2026-01-01,Enterprise,199,Active,
CUST-00296,Finance,2024-04-19,Enterprise,199,Active,
CUST-00297,Finance,2024-11-29,Basic,19,Active,
CUST-00298,Tech,2025-07-23,Basic,19,Active,
CUST-00299,Tech,2025-10-27,Pro,49,Active,
CUST-00300,Retail,2024-03-13,Basic,19,Active,
CUST-00301,Education,2024-11-05,Basic,19,Active,
CUST-00302,Finance,2025-06-29,Basic,19,Active,
CUST-00303,Retail,2025-04-17,Pro,49,Churned,2025-08-15
CUST-00304,Finance,2025-02-14,Enterprise,199,Active,
CUST-00305,Tech,2025-08-27,Basic,19,Active,
CUST-00306,Tech,2025-02-27,Basic,19,Active,
CUST-00307,Tech,2024-09-01,Basic,19,Active,
CUST-00308,Retail,2025-09-27,Basic,19,Active,
CUST-00309,Retail,2024-09-06,Basic,19,Churned,2024-10-08
CUST-00310,Retail,2025-07-15,Basic,19,Active,
CUST-00311,Retail,2024-06-11,Pro,49,Active,
CUST-00312,Tech,2025-05-08,Basic,19,Active,
CUST-00313,Tech,2025-01-28,Pro,49,Churned,2025-05-19
CUST-00314,Tech,2024-03-08,Basic,19,Churned,2024-06-16
CUST-00315,Retail,2024-12-14,Basic,19,Active,
CUST-00316,Retail,2024-08-01,Pro,49,Active,
CUST-00317,Finance,2025-12-11,Pro,49,Active,
CUST-00318,Healthcare,2025-08-28,Basic,19,Active,
CUST-00319,Tech,2025-03-17,Enterprise,199,Active,
CUST-00320,Education,2025-03-21,Basic,19,Active,
CUST-00321,Retail,2025-08-03,Basic,19,Churned,2025-11-21
CUST-00322,Education,2024-12-16,Pro,49,Active,
CUST-00323,Retail,2025-07-11,Pro,49,Active,
CUST-00324,Retail,2025-12-11,Basic,19,Active,
CUST-00325,Tech,2024-08-29,Basic,19,Active,
CUST-00326,Healthcare,2024-06-26,Basic,19,Active,
CUST-00327,Tech,2025-11-09,Pro,49,Active,
CUST-00328,Education,2025-11-16,Pro,49,Churned,2026-03-10
CUST-00329,Retail,2024-03-20,Pro,49,Active,
CUST-00330,Retail,2026-01-27,Enterprise,199,Active,
CUST-00331,Retail,2025-12-29,Enterprise,199,Active,
CUST-00332,Tech,2025-08-10,Basic,19,Active,
CUST-00333,Retail,2025-05-13,Pro,49,Active,
CUST-00334,Tech,2024-04-27,Basic,19,Active,
CUST-00335,Retail,2025-08-29,Pro,49,Active,
CUST-00336,Retail,2025-09-02,Pro,49,Churned,2026-02-05
CUST-00337,Tech,2025-04-19,Basic,19,Active,
CUST-00338,Retail,2024-11-29,Basic,19,Active,
CUST-00339,Finance,2025-07-22,Pro,49,Active,
CUST-00340,Tech,2024-04-09,Basic,19,Active,
CUST-00341,Retail,2025-03-31,Basic,19,Active,
CUST-00342,Tech,2024-06-29,Basic,19,Active,
CUST-00343,Tech,2024-11-11,Basic,19,Active,
CUST-00344,Tech,2025-02-19,Basic,19,Active,
CUST-00345,Tech,2024-03-12,Enterprise,199,Churned,2024-08-06
CUST-00346,Retail,2025-09-04,Basic,19,Active,
CUST-00347,Education,2024-04-21,Basic,19,Active,
CUST-00348,Tech,2025-12-02,Basic,19,Active,
CUST-00349,Healthcare,2025-09-02,Basic,19,Churned,2026-01-07
CUST-00350,Tech,2026-02-28,Enterprise,199,Active,
CUST-00351,Education,2025-01-23,Basic,19,Active,
CUST-00352,Finance,2024-12-01,Basic,19,Active,
CUST-00353,Education,2025-05-21,Basic,19,Active,
CUST-00354,Tech,2025-10-22,Basic,19,Active,
CUST-00355,Education,2025-11-07,Enterprise,199,Active,
CUST-00356,Tech,2024-03-03,Basic,19,Active,
CUST-00357,Education,2024-04-02,Basic,19,Active,
CUST-00358,Tech,2024-08-10,Pro,49,Churned,2025-01-15
CUST-00359,Tech,2024-05-22,Pro,49,Churned,2024-07-08
CUST-00360,Finance,2025-08-17,Basic,19,Active,
CUST-00361,Healthcare,2026-02-12,Pro,49,Active,
CUST-00362,Tech,2025-10-13,Basic,19,Active,
CUST-00363,Healthcare,2024-01-01,Enterprise,199,Active,
CUST-00364,Finance,2026-02-14,Basic,19,Active,
CUST-00365,Tech,2024-05-30,Pro,49,Active,
CUST-00366,Finance,2025-11-07,Pro,49,Active,
CUST-00367,Tech,2024-06-01,Basic,19,Active,
CUST-00368,Healthcare,2025-04-08,Pro,49,Active,
CUST-00369,Tech,2025-06-28,Basic,19,Active,
CUST-00370,Education,2024-10-25,Basic,19,Active,
CUST-00371,Finance,2025-02-03,Pro,49,Churned,2025-06-18
CUST-00372,Healthcare,2025-09-22,Pro,49,Churned,2026-03-18
CUST-00373,Healthcare,2025-08-14,Pro,49,Active,
CUST-00374,Healthcare,2025-04-02,Basic,19,Active,
CUST-00375,Tech,2024-07-19,Enterprise,199,Active,
CUST-00376,Tech,2024-07-29,Enterprise,199,Active,
CUST-00377,Healthcare,2025-11-28,Basic,19,Active,
CUST-00378,Tech,2024-11-20,Pro,49,Churned,2025-04-15
CUST-00379,Tech,2024-11-02,Enterprise,199,Active,
CUST-00380,Retail,2025-08-06,Basic,19,Active,
CUST-00381,Healthcare,2025-11-26,Basic,19,Active,
CUST-00382,Tech,2024-11-07,Basic,19,Active,
CUST-00383,Tech,2025-03-21,Basic,19,Churned,2025-07-07
CUST-00384,Finance,2026-01-05,Basic,19,Churned,2026-03-11
CUST-00385,Finance,2024-12-18,Enterprise,199,Active,
CUST-00386,Tech,2024-04-01,Basic,19,Active,
CUST-00387,Tech,2025-08-19,Enterprise,199,Churned,2025-12-17
CUST-00388,Finance,2024-01-09,Pro,49,Churned,2024-03-04
CUST-00389,Education,2025-09-18,Enterprise,199,Active,
CUST-00390,Healthcare,2025-06-06,Pro,49,Active,
CUST-00391,Education,2025-02-17,Basic,19,Active,
CUST-00392,Healthcare,2024-05-10,Basic,19,Active,
CUST-00393,Tech,2024-10-28,Pro,49,Active,
CUST-00394,Finance,2024-03-04,Pro,49,Active,
CUST-00395,Tech,2025-01-13,Pro,49,Active,
CUST-00396,Tech,2025-07-16,Basic,19,Active,
CUST-00397,Finance,2024-02-24,Enterprise,199,Active,
CUST-00398,Finance,2024-01-01,Basic,19,Active,
CUST-00399,Healthcare,2025-12-21,Basic,19,Churned,2026-03-31
CUST-00400,Finance,2025-07-27,Basic,19,Active,
CUST-00401,Finance,2025-01-02,Enterprise,199,Active,
CUST-00402,Tech,2024-04-22,Basic,19,Active,
CUST-00403,Finance,2024-10-15,Basic,19,Active,
CUST-00404,Education,2024-02-01,Enterprise,199,Active,
CUST-00405,Retail,2024-08-28,Pro,49,Active,
CUST-00406,Tech,2025-03-18,Pro,49,Churned,2025-05-26
CUST-00407,Tech,2025-12-20,Pro,49,Active,
CUST-00408,Finance,2025-08-27,Pro,49,Churned,2025-10-26
CUST-00409,Healthcare,2025-02-07,Basic,19,Active,
CUST-00410,Tech,2025-10-02,Pro,49,Active,
CUST-00411,Retail,2024-11-21,Basic,19,Active,
CUST-00412,Retail,2025-12-29,Pro,49,Active,
CUST-00413,Healthcare,2025-01-26,Pro,49,Active,
CUST-00414,Tech,2025-02-19,Pro,49,Active,
CUST-00415,Tech,2025-01-25,Pro,49,Active,
CUST-00416,Tech,2025-03-21,Pro,49,Churned,2025-06-29
CUST-00417,Tech,2025-07-12,Basic,19,Active,
CUST-00418,Finance,2024-08-04,Basic,19,Active,
CUST-00419,Retail,2025-11-09,Pro,49,Churned,2026-03-31
CUST-00420,Tech,2024-06-26,Enterprise,199,Active,
CUST-00421,Finance,2025-05-01,Pro,49,Active,
CUST-00422,Healthcare,2024-05-22,Enterprise,199,Active,
CUST-00423,Tech,2024-07-11,Pro,49,Active,
CUST-00424,Healthcare,2025-07-22,Basic,19,Active,
CUST-00425,Finance,2025-01-28,Enterprise,199,Active,
CUST-00426,Tech,2025-01-03,Pro,49,Active,
CUST-00427,Healthcare,2025-03-03,Pro,49,Active,
CUST-00428,Tech,2024-06-06,Basic,19,Active,
CUST-00429,Retail,2024-10-22,Basic,19,Active,
CUST-00430,Retail,2025-11-17,Pro,49,Active,
CUST-00431,Tech,2024-05-08,Basic,19,Active,
CUST-00432,Finance,2024-05-17,Pro,49,Active,
CUST-00433,Tech,2024-01-12,Pro,49,Churned,2024-03-26
CUST-00434,Education,2024-03-14,Enterprise,199,Active,
CUST-00435,Finance,2025-10-25,Basic,19,Active,
CUST-00436,Tech,2024-01-17,Basic,19,Active,
CUST-00437,Tech,2024-05-27,Basic,19,Active,
CUST-00438,Retail,2026-01-08,Enterprise,199,Active,
CUST-00439,Finance,2025-05-13,Basic,19,Active,
CUST-00440,Retail,2025-11-04,Basic,19,Churned,2025-12-10
CUST-00441,Healthcare,2025-03-23,Enterprise,199,Churned,2025-05-27
CUST-00442,Education,2024-05-19,Basic,19,Active,
CUST-00443,Finance,2024-03-27,Pro,49,Churned,2024-06-18
CUST-00444,Education,2024-05-20,Pro,49,Active,
CUST-00445,Retail,2025-10-19,Pro,49,Active,
CUST-00446,Healthcare,2025-03-01,Pro,49,Churned,2025-08-10
CUST-00447,Healthcare,2025-04-11,Basic,19,Churned,2025-09-26
CUST-00448,Finance,2025-12-13,Basic,19,Active,
CUST-00449,Retail,2025-09-10,Basic,19,Churned,2026-03-06
CUST-00450,Finance,2025-03-11,Enterprise,199,Active,
CUST-00451,Retail,2025-09-30,Pro,49,Active,
CUST-00452,Healthcare,2024-07-03,Enterprise,199,Active,
CUST-00453,Finance,2025-04-10,Basic,19,Active,
CUST-00454,Tech,2025-06-05,Pro,49,Churned,2025-07-23
CUST-00455,Tech,2025-03-10,Enterprise,199,Active,
CUST-00456,Healthcare,2025-07-19,Enterprise,199,Active,
CUST-00457,Retail,2025-04-05,Basic,19,Active,
CUST-00458,Finance,2025-01-28,Basic,19,Active,
CUST-00459,Healthcare,2024-12-29,Basic,19,Active,
CUST-00460,Tech,2024-08-19,Basic,19,Active,
CUST-00461,Tech,2024-07-09,Pro,49,Active,
CUST-00462,Tech,2025-03-10,Basic,19,Active,
CUST-00463,Tech,2025-09-11,Pro,49,Active,
CUST-00464,Tech,2024-01-08,Enterprise,199,Active,
CUST-00465,Finance,2025-08-14,Basic,19,Active,
CUST-00466,Tech,2025-05-25,Pro,49,Active,
CUST-00467,Tech,2026-01-18,Basic,19,Active,
CUST-00468,Healthcare,2024-08-30,Basic,19,Active,
CUST-00469,Healthcare,2025-12-30,Basic,19,Active,
CUST-00470,Tech,2025-05-28,Basic,19,Active,
CUST-00471,Finance,2024-10-02,Pro,49,Active,
