customer_id,days_active_last_30,support_tickets_last_30,storage_used_gb
CUST-00480,14,1,66.8
CUST-00481,17,1,48.1
CUST-00482,3,3,35.7
CUST-00483,6,1,25.9
CUST-00484,5,1,53.1
CUST-00485,18,2,38.7
CUST-00486,20,5,28.7
CUST-00487,11,8,40.3
CUST-00488,19,8,33.8
CUST-00489,26,3,75.3
CUST-00490,15,2,63.2
CUST-00491,9,0,49.9
CUST-00492,4,2,72.2
CUST-00493,2,2,51.2
CUST-00494,5,1,37.1
CUST-00495,18,2,72.8
CUST-00496,2,0,58.1
CUST-00497,11,2,34.4
CUST-00498,20,1,47.1
CUST-00499,13,1,36.9
CUST-00500,10,0,29.3
CUST-00501,13,1,63.9
CUST-00502,19,2,78.6
CUST-00503,2,2,29.0
CUST-00504,6,1,58.4
CUST-00505,19,0,40.2
CUST-00506,15,0,42.7
CUST-00507,12,5,41.1
CUST-00508,20,1,37.0
CUST-00509,23,2,50.7
CUST-00510,5,1,37.5
CUST-00511,5,0,54.1
CUST-00512,16,1,49.2
CUST-00513,6,2,46.4
CUST-00514,7,2,36.4
CUST-00515,29,1,41.3
CUST-00516,23,2,61.3
CUST-00517,6,2,57.5
CUST-00518,20,2,35.3
CUST-00519,17,1,51.5
CUST-00520,17,8,61.3
CUST-00521,17,1,25.0
CUST-00522,25,3,58.2
CUST-00523,21,1,40.1
CUST-00524,23,2,58.6
CUST-00525,17,8,38.6
CUST-00526,9,2,22.9
CUST-00527,4,2,25.6
CUST-00528,30,3,50.7
CUST-00529,3,0,53.9
CUST-00530,20,2,36.4
CUST-00531,0,0,59.6
CUST-00532,17,2,25.1
CUST-00533,12,1,49.0
CUST-00534,8,1,31.8
CUST-00535,16,2,40.2
CUST-00536,26,3,50.7
CUST-00537,10,0,37.1
CUST-00538,4,8,44.2
CUST-00539,1,5,65.1
CUST-00540,13,2,41.3
CUST-00541,18,0,62.5
CUST-00542,3,0,33.1
CUST-00543,1,2,57.9
CUST-00544,20,1,71.6
CUST-00545,24,2,12.9
CUST-00546,4,8,38.0
CUST-00547,10,5,58.7
CUST-00548,2,2,47.0
CUST-00549,18,2,55.6
CUST-00550,19,8,40.9
CUST-00551,3,8,51.3
CUST-00552,13,0,47.7
CUST-00553,7,1,67.5
CUST-00554,15,0,53.8
CUST-00555,7,1,55.1
CUST-00556,18,0,43.8
CUST-00557,16,2,42.7
CUST-00558,11,8,43.5
CUST-00559,22,1,55.9
CUST-00560,13,0,43.7
CUST-00561,20,0,54.3
CUST-00562,3,0,81.1
CUST-00563,4,1,63.1
CUST-00564,12,2,45.1
CUST-00565,10,2,68.0
CUST-00566,25,8,43.9
CUST-00567,25,2,19.4
CUST-00568,18,1,34.9
CUST-00569,18,2,21.9
CUST-00570,8,1,44.7
CUST-00571,20,0,50.3
CUST-00572,30,3,75.1
CUST-00573,11,2,54.9
CUST-00574,20,1,46.7
CUST-00575,19,1,62.4
CUST-00576,13,0,16.8
CUST-00577,6,2,53.5
CUST-00578,10,2,61.6
CUST-00579,0,1,27.8
CUST-00580,26,0,67.2
CUST-00581,12,8,55.1
CUST-00582,16,2,43.8
CUST-00583,17,2,59.5
CUST-00584,15,1,84.1
CUST-00585,4,1,52.7
CUST-00586,2,1,53.7
CUST-00587,3,2,43.1
CUST-00588,18,1,37.3
CUST-00589,4,2,62.5
CUST-00590,29,0,37.2
CUST-00591,14,2,51.1
CUST-00592,5,2,42.8
CUST-00593,13,0,57.2
CUST-00594,4,2,55.0
CUST-00595,12,1,65.6
CUST-00596,25,3,42.3
CUST-00597,10,2,46.0
CUST-00598,20,1,35.3
CUST-00599,1,2,43.3
CUST-00600,29,3,55.7
CUST-00601,20,2,61.4
CUST-00602,11,5,36.2
CUST-00603,15,1,63.0
CUST-00604,18,2,70.3
CUST-00605,20,0,56.2
CUST-00606,12,2,78.2
CUST-00607,12,2,38.4
CUST-00608,17,0,31.3
CUST-00609,8,2,23.3
CUST-00610,6,0,72.4
CUST-00611,20,2,59.8
CUST-00612,3,3,49.2
CUST-00613,28,2,54.2
CUST-00614,22,1,33.1
CUST-00615,21,8,86.7
CUST-00616,11,1,51.9
CUST-00617,22,1,51.6
CUST-00618,23,1,60.9
CUST-00619,14,0,57.2
CUST-00620,19,0,53.4
CUST-00621,1,1,38.1
CUST-00622,11,0,57.1
CUST-00623,2,8,78.2
CUST-00624,0,5,70.2
CUST-00625,18,1,73.9
CUST-00626,17,2,42.3
CUST-00627,18,2,35.2
CUST-00628,1,5,48.1
CUST-00629,29,0,50.8
CUST-00630,1,0,66.4
CUST-00631,25,2,24.6
CUST-00632,22,1,72.9
CUST-00633,16,1,47.6
CUST-00634,16,2,43.6
CUST-00635,22,2,34.8
CUST-00636,18,2,25.2
CUST-00637,21,2,62.3
CUST-00638,30,3,51.1
CUST-00639,11,2,30.7
CUST-00640,5,2,30.6
CUST-00641,5,0,45.0
CUST-00642,13,1,75.0
CUST-00643,6,1,46.1
CUST-00644,18,2,27.5
CUST-00645,5,2,46.3
CUST-00646,27,3,45.9
CUST-00647,4,5,9.5
CUST-00648,22,1,49.2
CUST-00649,2,1,46.5
CUST-00650,13,2,60.4
CUST-00651,5,2,77.7
CUST-00652,15,8,66.9
CUST-00653,10,8,46.0
CUST-00654,1,2,33.4
CUST-00655,5,1,88.6
CUST-00656,10,1,50.9
CUST-00657,24,1,50.2
CUST-00658,1,2,49.6
CUST-00659,10,1,53.0
CUST-00660,21,1,47.8
CUST-00661,24,1,41.4
CUST-00662,16,8,41.8
CUST-00663,22,2,49.5
CUST-00664,15,0,41.8
CUST-00665,16,1,39.3
CUST-00666,19,2,51.6
CUST-00667,16,2,46.2
CUST-00668,3,2,72.6
CUST-00669,11,2,10.2
CUST-00670,14,2,66.4
CUST-00671,2,2,68.7
CUST-00672,6,1,18.9
CUST-00673,2,5,44.9
CUST-00674,6,1,44.4
CUST-00675,5,1,28.9
CUST-00676,8,1,38.3
CUST-00677,19,0,33.3
CUST-00678,24,2,76.3
CUST-00679,25,5,64.0
CUST-00680,15,1,69.1
CUST-00681,12,0,60.8
CUST-00682,26,0,33.1
CUST-00683,17,2,42.1
CUST-00684,14,0,57.3
CUST-00685,29,1,31.7
CUST-00686,6,1,60.7
CUST-00687,16,0,46.4
CUST-00688,9,0,44.4
CUST-00689,7,1,60.7
CUST-00690,21,3,56.7
CUST-00691,2,2,44.6
CUST-00692,17,2,67.4
CUST-00693,27,3,33.8
CUST-00694,14,1,59.2
CUST-00695,25,3,58.9
CUST-00696,23,5,45.4
CUST-00697,10,2,54.9
CUST-00698,0,5,31.2
CUST-00699,12,5,63.9
CUST-00700,6,0,47.2
CUST-00701,17,1,42.2
CUST-00702,14,1,65.7
CUST-00703,23,1,39.4
CUST-00704,8,2,28.9
CUST-00705,8,2,26.7
CUST-00706,10,0,59.1
CUST-00707,3,2,30.8
CUST-00708,18,2,76.3
CUST-00709,16,1,18.8
CUST-00710,3,8,75.4
CUST-00711,12,2,53.2
CUST-00712,13,2,48.5
CUST-00713,2,5,41.8
CUST-00714,19,1,56.0
CUST-00715,24,2,49.4
CUST-00716,10,5,66.5
CUST-00717,2,1,51.7
CUST-00718,21,2,52.3
CUST-00719,1,2,44.5
CUST-00720,23,5,49.1
CUST-00721,12,1,54.6
CUST-00722,20,3,24.3
CUST-00723,8,0,29.8
CUST-00724,25,0,61.1
CUST-00725,10,2,52.6
CUST-00726,12,5,47.2
CUST-00727,11,0,50.3
CUST-00728,20,1,55.2
CUST-00729,13,1,41.9
CUST-00730,11,1,38.3
CUST-00731,0,2,52.9
CUST-00732,0,5,35.3
CUST-00733,15,0,56.1
CUST-00734,24,5,24.5
CUST-00735,22,2,65.4
CUST-00736,20,2,57.1
CUST-00737,20,1,53.8
CUST-00738,0,5,64.7
CUST-00739,2,2,75.0
CUST-00740,19,1,65.2
CUST-00741,10,2,22.4
CUST-00742,10,2,30.8
CUST-00743,20,2,40.6
CUST-00744,9,2,50.4
CUST-00745,21,0,57.8
CUST-00746,14,0,39.1
CUST-00747,17,2,52.8
CUST-00748,18,0,38.7
CUST-00749,8,1,40.8
CUST-00750,20,5,28.9
CUST-00751,22,1,36.2
CUST-00752,10,1,29.7
CUST-00753,5,1,35.4
CUST-00754,10,1,65.8
CUST-00755,18,2,35.8
CUST-00756,5,2,89.5
CUST-00757,7,2,57.4
CUST-00758,20,8,52.8
CUST-00759,20,2,37.1
CUST-00760,29,0,60.5
CUST-00761,16,2,41.4
CUST-00762,12,1,51.8
CUST-00763,25,1,88.4
CUST-00764,11,0,48.6
CUST-00765,19,2,67.2
CUST-00766,13,8,39.5
CUST-00767,0,8,49.5
CUST-00768,23,5,76.6
CUST-00769,21,3,40.6
CUST-00770,29,0,77.2
CUST-00771,25,1,60.6
CUST-00772,6,1,41.6
CUST-00773,24,2,59.5
CUST-00774,13,0,64.6
CUST-00775,1,5,59.3
CUST-00776,23,3,26.4
CUST-00777,7,2,39.1
CUST-00778,2,5,46.3
CUST-00779,18,5,48.9
CUST-00780,4,1,59.3
CUST-00781,14,1,52.7
CUST-00782,14,2,30.0
CUST-00783,9,1,55.7
CUST-00784,19,1,59.2
CUST-00785,5,0,58.4
CUST-00786,10,1,66.2
CUST-00787,22,5,62.5
CUST-00788,30,2,56.9
CUST-00789,28,2,48.9
CUST-00790,30,3,25.1
CUST-00791,2,1,56.4
CUST-00792,12,0,53.1
CUST-00793,13,5,54.1
CUST-00794,5,1,30.8
CUST-00795,17,5,33.8
CUST-00796,17,0,65.8
CUST-00797,24,0,49.4
CUST-00798,12,5,60.2
CUST-00799,12,2,50.4
CUST-00800,17,1,50.4
CUST-00801,18,1,64.1
CUST-00802,7,0,42.3
CUST-00803,6,1,51.4
CUST-00804,20,2,43.1
CUST-00805,20,5,43.5
CUST-00806,8,1,45.4
CUST-00807,11,0,53.3
CUST-00808,18,0,42.8
CUST-00809,11,1,68.8
CUST-00810,4,5,36.6
CUST-00811,10,2,47.2
CUST-00812,14,1,43.4
CUST-00813,19,2,71.7
CUST-00814,3,0,52.9
CUST-00815,7,0,65.5
CUST-00816,24,1,27.7
CUST-00817,16,8,54.0
CUST-00818,19,1,63.3
CUST-00819,19,1,51.2
CUST-00820,9,2,66.0
CUST-00821,10,1,42.2
CUST-00822,25,1,71.1
CUST-00823,3,5,84.5
CUST-00824,25,2,44.6
CUST-00825,15,1,43.3
CUST-00826,0,1,71.8
CUST-00827,30,2,73.7
CUST-00828,20,2,42.2
CUST-00829,13,2,43.7
CUST-00830,18,1,45.8
CUST-00831,11,2,29.8
CUST-00832,1,2,36.2
CUST-00833,20,1,34.9
CUST-00834,27,3,38.5
CUST-00835,20,3,49.5
CUST-00836,21,1,53.5
CUST-00837,9,1,73.3
CUST-00838,18,2,35.0
CUST-00839,29,2,64.8
CUST-00840,15,0,46.8
CUST-00841,19,1,49.3
CUST-00842,15,0,60.1
CUST-00843,11,1,33.2
CUST-00844,16,1,55.7
CUST-00845,18,5,52.5
CUST-00846,21,1,57.4
CUST-00847,6,1,54.3
CUST-00848,0,2,86.8
CUST-00849,28,2,40.4
CUST-00850,12,5,42.0
CUST-00851,28,0,40.7
CUST-00852,24,8,41.7
CUST-00853,30,0,40.4
CUST-00854,9,1,67.8
CUST-00855,15,2,71.3
CUST-00856,23,5,41.4
CUST-00857,5,1,37.5
CUST-00858,12,0,57.1
CUST-00859,15,0,41.7
CUST-00860,21,1,59.5
CUST-00861,16,2,53.0
CUST-00862,1,0,27.3
CUST-00863,20,8,73.2
CUST-00864,23,1,76.9
CUST-00865,12,1,40.8
CUST-00866,5,1,44.2
CUST-00867,21,3,54.3
CUST-00868,11,1,55.0
CUST-00869,11,1,59.9
CUST-00870,7,0,80.2
CUST-00871,13,2,47.3
CUST-00872,16,1,38.0
CUST-00873,11,0,29.3
CUST-00874,18,2,39.0
CUST-00875,20,0,49.5
CUST-00876,16,0,76.9
CUST-00877,18,0,42.2
CUST-00878,12,1,53.4
CUST-00879,10,8,49.8
CUST-00880,1,2,67.8
CUST-00881,0,1,87.9
CUST-00882,14,0,42.0
CUST-00883,18,0,42.7
CUST-00884,30,1,65.7
CUST-00885,2,0,60.2
CUST-00886,13,1,77.7
CUST-00887,0,0,58.8
CUST-00888,4,1,44.6
CUST-00889,0,1,58.9
CUST-00890,8,0,66.6
CUST-00891,19,1,62.3
CUST-00892,19,5,57.6
CUST-00893,22,2,66.0
CUST-00894,13,8,67.5
CUST-00895,1,8,70.7
CUST-00896,12,1,59.7
CUST-00897,13,1,47.5
CUST-00898,14,2,52.2
CUST-00899,22,2,68.1
CUST-00900,6,0,37.7
CUST-00901,16,5,55.5
CUST-00902,6,2,44.1
CUST-00903,3,1,50.4
CUST-00904,30,1,69.2
CUST-00905,27,3,52.9
CUST-00906,19,1,50.7
CUST-00907,15,2,29.6
CUST-00908,25,2,61.2
CUST-00909,19,2,59.7
CUST-00910,3,2,82.4
CUST-00911,0,8,45.4
CUST-00912,14,2,53.3
CUST-00913,18,1,53.7
CUST-00914,26,1,73.7
CUST-00915,22,1,48.6
CUST-00916,11,0,54.2
CUST-00917,9,2,59.1
CUST-00918,21,1,52.8
CUST-00919,5,8,43.3
CUST-00920,12,2,52.9
CUST-00921,23,1,66.1
CUST-00922,14,1,34.6
CUST-00923,25,2,52.0
CUST-00924,5,1,39.5
CUST-00925,1,2,67.9
CUST-00926,12,0,27.2
CUST-00927,17,1,41.6
CUST-00928,7,1,55.7
CUST-00929,26,1,73.5
